source,target,weight,Type
 PUY DU FOU INTERNAT,ACT LIGHTING DESIGN,4.0,undirected
ACT LIGHTING DESIGN, PUY DU FOU INTERNAT,4.0,undirected
 PJATIGORSKAJA G FARMATSEVTICHE,AKADEMIJA,4.0,undirected
AKADEMIJA, PJATIGORSKAJA G FARMATSEVTICHE,4.0,undirected
 SCHLUMBERGER SERVICES PETROL, SCHLUMBERGER CA LTD,3.0,undirected
 SCHLUMBERGER TECHNOLOGY BV, SCHLUMBERGER CA LTD,3.0,undirected
 SCHLUMBERGER CA LTD, SCHLUMBERGER SERVICES PETROL,3.0,undirected
 SCHLUMBERGER TECHNOLOGY BV, SCHLUMBERGER SERVICES PETROL,3.0,undirected
 SCHLUMBERGER CA LTD, SCHLUMBERGER TECHNOLOGY BV,3.0,undirected
 SCHLUMBERGER SERVICES PETROL, SCHLUMBERGER TECHNOLOGY BV,3.0,undirected
 CENTRE NAT DE LA RECH SCIENT (CNRS),AIX MARSEILLE UNIVERSITÃ,2.0,undirected
AIX MARSEILLE UNIVERSITÃ, CENTRE NAT DE LA RECH SCIENT (CNRS),2.0,undirected
 UNIV KOOKMIN IND ACAD COOP,DH HOLDINGS CO LTD,2.0,undirected
DH HOLDINGS CO LTD, UNIV KOOKMIN IND ACAD COOP,2.0,undirected
LOGINED BV, SCHLUMBERGER CA LTD,2.0,undirected
 PRAD RES & DEV LTD, SCHLUMBERGER CA LTD,2.0,undirected
LOGINED BV, SCHLUMBERGER SERVICES PETROL,2.0,undirected
 PRAD RES & DEV LTD, SCHLUMBERGER SERVICES PETROL,2.0,undirected
LOGINED BV, SCHLUMBERGER TECHNOLOGY BV,2.0,undirected
 PRAD RES & DEV LTD, SCHLUMBERGER TECHNOLOGY BV,2.0,undirected
 WESTERNGECO LLC,SCHLUMBERGER CA LTD,2.0,undirected
 WESTERNGECO SEISMIC HOLDINGS,SCHLUMBERGER CA LTD,2.0,undirected
SCHLUMBERGER CA LTD, WESTERNGECO LLC,2.0,undirected
 WESTERNGECO SEISMIC HOLDINGS, WESTERNGECO LLC,2.0,undirected
SCHLUMBERGER CA LTD, WESTERNGECO SEISMIC HOLDINGS,2.0,undirected
 WESTERNGECO LLC, WESTERNGECO SEISMIC HOLDINGS,2.0,undirected
 SCHLUMBERGER CA LTD,LOGINED BV,2.0,undirected
 SCHLUMBERGER SERVICES PETROL,LOGINED BV,2.0,undirected
 SCHLUMBERGER TECHNOLOGY BV,LOGINED BV,2.0,undirected
 PRAD RES & DEV LTD,LOGINED BV,2.0,undirected
 SCHLUMBERGER CA LTD, PRAD RES & DEV LTD,2.0,undirected
 SCHLUMBERGER SERVICES PETROL, PRAD RES & DEV LTD,2.0,undirected
 SCHLUMBERGER TECHNOLOGY BV, PRAD RES & DEV LTD,2.0,undirected
LOGINED BV, PRAD RES & DEV LTD,2.0,undirected
 UNIV QINGHUA,HON HAI PREC IND CO LTD,2.0,undirected
HON HAI PREC IND CO LTD, UNIV QINGHUA,2.0,undirected
 LANXI HONGXIANG BIO TECHNOLOGY CO LTD,JIANGXI AGRICULTURAL UNIVERSITY INST OF BEE,1.0,undirected
JIANGXI AGRICULTURAL UNIVERSITY INST OF BEE, LANXI HONGXIANG BIO TECHNOLOGY CO LTD,1.0,undirected
 UNIV JILIN AGRICULTURAL,INST PLANT PROTECTION IPP CAAS,1.0,undirected
 UNIV NORTHWEST A&F,INST PLANT PROTECTION IPP CAAS,1.0,undirected
INST PLANT PROTECTION IPP CAAS, UNIV JILIN AGRICULTURAL,1.0,undirected
 UNIV NORTHWEST A&F, UNIV JILIN AGRICULTURAL,1.0,undirected
INST PLANT PROTECTION IPP CAAS, UNIV NORTHWEST A&F,1.0,undirected
 UNIV JILIN AGRICULTURAL, UNIV NORTHWEST A&F,1.0,undirected
 ZHIJIANG COLLEGE OF ZHEJIANG UNIV TECHNOLOGY,ZHEJIANG ZHONGHANG ELECTRONIC CO LTD,1.0,undirected
ZHEJIANG ZHONGHANG ELECTRONIC CO LTD, ZHIJIANG COLLEGE OF ZHEJIANG UNIV TECHNOLOGY,1.0,undirected
 YUNNAN POWER GRID CO LTD,XIANHENG INTERNAT HANGZHOU AVIAT AUTOMATION CO LTD,1.0,undirected
XIANHENG INTERNAT HANGZHOU AVIAT AUTOMATION CO LTD, YUNNAN POWER GRID CO LTD,1.0,undirected
 HONEYWELL ELAC NAUTIK GMBH,DIEHL GMBH & CO,1.0,undirected
DIEHL GMBH & CO, HONEYWELL ELAC NAUTIK GMBH,1.0,undirected
 EADS (various locations),CASSIDIAN SAS,1.0,undirected
CASSIDIAN SAS, EADS (various locations),1.0,undirected
AIRBUS GROUP SAS, EADS (various locations),1.0,undirected
 KOREA ELECTRONICS TELECOMM,IND ACADEMIC COOP,1.0,undirected
IND ACADEMIC COOP, KOREA ELECTRONICS TELECOMM,1.0,undirected
 CENTRE NAT DE LA RECH SCIENT (CNRS),AGRONOMIQUE INST NAT RECH,1.0,undirected
 KYOWA YUKA KK,KYOWA HAKKO KOGYO KK,1.0,undirected
KYOWA HAKKO KOGYO KK, KYOWA YUKA KK,1.0,undirected
 NOVARTIS PHARMA GMBH,NOVARTIS AG,1.0,undirected
NOVARTIS AG, NOVARTIS PHARMA GMBH,1.0,undirected
 NISSAN MOTOR,MAHLE FILTER SYSTEMS JP CORP,1.0,undirected
MAHLE FILTER SYSTEMS JP CORP, NISSAN MOTOR,1.0,undirected
 UNIV WASHINGTON,INSITU INC,1.0,undirected
 TOKAI TRADING CO LTD,BIOBEST BELGIUM NV,1.0,undirected
 UNIV BRUXELLES,BIOBEST BELGIUM NV,1.0,undirected
BIOBEST BELGIUM NV, TOKAI TRADING CO LTD,1.0,undirected
AGRONOMIQUE INST NAT RECH, CENTRE NAT DE LA RECH SCIENT (CNRS),1.0,undirected
 UNIV DANMARKS TEKNISKE,MÃ†RSK OLIE OG GAS AS,1.0,undirected
MÃ†RSK OLIE OG GAS AS, UNIV DANMARKS TEKNISKE,1.0,undirected
 TORQUING GROUP LTD,BCB INT LTD,1.0,undirected
BCB INT LTD, TORQUING GROUP LTD,1.0,undirected
 UNIV ODESA STATE MEDICAL,HYDROACOUSTICS BRANCH OF MARITIME HYDROPHYSICAL INST OF THE NAT ACADEMY OF SCIENCES OF UKRAINE,1.0,undirected
HYDROACOUSTICS BRANCH OF MARITIME HYDROPHYSICAL INST OF THE NAT ACADEMY OF SCIENCES OF UKRAINE, UNIV ODESA STATE MEDICAL,1.0,undirected
 ISRAEL STATE,ISRAEL AIRCRAFT IND LTD,1.0,undirected
ISRAEL AIRCRAFT IND LTD, ISRAEL STATE,1.0,undirected
 UNIV FRASER SIMON,ISRAEL STATE,1.0,undirected
 EADS (various locations),AIRBUS GROUP SAS,1.0,undirected
 TEXAS A & M UNIV SYS,CONTECH ENTPR INC,1.0,undirected
CONTECH ENTPR INC, TEXAS A & M UNIV SYS,1.0,undirected
 THYSSENKRUPP PRESTA TECCT AG,POLYTEC AUTOMOTIVE GMBH & CO KG,1.0,undirected
POLYTEC AUTOMOTIVE GMBH & CO KG, THYSSENKRUPP PRESTA TECCT AG,1.0,undirected
 PFIZER,AMGEN FREMONT INC,1.0,undirected
AMGEN FREMONT INC, PFIZER,1.0,undirected
 TECHNOLOGY INTERNAT INC,EMINENT TECHNOLOGY INC,1.0,undirected
EMINENT TECHNOLOGY INC, TECHNOLOGY INTERNAT INC,1.0,undirected
 LEE SOO MIN,LEE MIN HEE,1.0,undirected
 SK CHEMICALS CO LTD,LEE MIN HEE,1.0,undirected
LEE MIN HEE, LEE SOO MIN,1.0,undirected
 SK CHEMICALS CO LTD, LEE SOO MIN,1.0,undirected
LEE MIN HEE, SK CHEMICALS CO LTD,1.0,undirected
 LEE SOO MIN, SK CHEMICALS CO LTD,1.0,undirected
 US NAVY,REPRESENTED BY THE SECRETARY OF THE NAVY UNITED STATES GOVERNMENT AS,1.0,undirected
REPRESENTED BY THE SECRETARY OF THE NAVY UNITED STATES GOVERNMENT AS, US NAVY,1.0,undirected
 UNIV JOHNS HOPKINS,GUILFORD PHARM INC,1.0,undirected
GUILFORD PHARM INC, UNIV JOHNS HOPKINS,1.0,undirected
 HRL LAB LLC,GEN MOTORS CORP,1.0,undirected
GEN MOTORS CORP, HRL LAB LLC,1.0,undirected
BIOBEST BELGIUM NV, UNIV BRUXELLES,1.0,undirected
 BASF SE,BASF CHINA CO LTD,1.0,undirected
BASF CHINA CO LTD, BASF SE,1.0,undirected
 UNIV WASHINGTON,ICAHN SCHOOL MED MOUNT SINAI,1.0,undirected
INSITU INC, UNIV WASHINGTON,1.0,undirected
ICAHN SCHOOL MED MOUNT SINAI, UNIV WASHINGTON,1.0,undirected
 ROYAL THAI NAVY,KASAMA HELICOPTER CO LTD,1.0,undirected
