applicants_organisations_only, applicants_useme, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_codes, priority_country_name, priority_date, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, simple_family_size, title, title_phrases, url
"MARKOWETZ FRANZ","MARKOWETZ FRANZ","6","A01K47/00","","2","","A01K47/00","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","AT","Austria","19850206","AT 33585 A","1985","AT","Austria","1995-8-25","AT 399980 B","1995","2","Double-storey Trough Beehive For The Two-population System For Completely Suppressing Swarms","double-storey Trough Beehive; Swarms; Two-population System","https://lens.org/062-291-696-337-99X"
"PARROT","PARROT","0","A63F2009/241; A63H27/12; A63H30/04; G05D1/0016; G06F3/04817; G06F3/04883; G08C17/02; G08C2201/93","","13","D HAEYER FREDERIC; SEYDOUX HENRI","A63F13/10; A63F9/24; A63H27/133; A63H30/04; G06F3/041; G08C17/02","Computing; Signalling; Sports","A63F: Human Necessities -> Sports; Games; Amusements -> Card, Board Or Roulette Games; Indoor Games Using Small Moving Playing Bodies; Video Games; Games Not Otherwise Provided For; A63H: Human Necessities -> Sports; Games; Amusements -> Toys, E.G. Tops, Dolls, Hoops, Building Blocks; G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; G08C: Physics -> Signalling -> Transmission Systems For Measured Values, Control Or Similar Signals","","FR","France","20100311; 20100607","FR 1051751 A; FR 1054449 A","2010","AT","Austria","2012-5-15","AT 556755 T","2012","11","Verfahren Und GerÃ¤t Zur Fernbedienung Einer Drohne, Insbesondere Einer Drohne Mit DrehflÃ¼geln","Insbesondere Einer Drohne Mit DrehflÃ¼geln; verfahren Und GerÃ¤t Zur Fernbedienung Einer Drohne","https://lens.org/005-506-993-736-485"
"FLORIDIENNE SA","FLORIDIENNE SA; SANDERS PROBEL BIOTECHNOLOGY S","4","A01M1/02; A01M1/2044","","1","","A01M1/02; A01M1/20","Agriculture","A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","BE","Belgium","19861017","BE 217307 A; BE 905621 A","1986","BE","Belgium","1987-4-17","BE 905621 A1","1987","1","Eliminating Parasites Of Bees - By Coating The Honeycomb Cells With An Attractant For Parasite","Attractant; Bees; Honeycomb Cells; Parasite; Parasites","https://lens.org/045-320-067-203-482"
"TS LAB ZA OPTICHEN ZAPIS I OBR","TS LAB ZA OPTICHEN ZAPIS I OBR","0","","","1","KUPRIJANOV SERGEJ S","G01C23/00","Measuring","G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","BG","Bulgaria","19790805","BG 4873979 A","1979","BG","Bulgaria","1989-12-15","BG 46357 A1","1989","1","System For Automatic Control Of Drones","Automatic Control; Drones; system","https://lens.org/026-906-126-985-445"
"INST TEKHN KIB I ROBOTIKA PRI","INST TEKHN KIB I ROBOTIKA PRI","0","","","1","ALEKSANDROV STANISLAV G; BARUKH JEROKHAM S; BENKOV JULIAN G; DANEV BOZHIDAR V; MINCHEV IVAN B; ZAPRJANOV JORDAN D","B64C13/18","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","BG","Bulgaria","19760701","BG 3364976 A","1976","BG","Bulgaria","1989-12-15","BG 46356 A1","1989","1","System For Automatic Stabilization And Control Of Drones","Automatic Stabilization; Control; Drones; system","https://lens.org/177-253-722-591-207"
"","MONOV","0","","","1","MONOV","A01K49/00","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","BG","Bulgaria","19810916","BG 5353881 A","1981","BG","Bulgaria","1982-12-15","BG 33016 A1","1982","1","Method For Growing Of Sexual Suitable Late Drones","Growing; method; Sexual Suitable Late Drones","https://lens.org/080-497-562-039-352"
"TS LAB ZA OPTICHEN ZAPIS I OBR","TS LAB ZA OPTICHEN ZAPIS I OBR","0","","","1","KUPRIJANOV SERGEJ S","B64C19/00; G01C23/00","Aircraft; Measuring","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","BG","Bulgaria","19800805","BG 4874080 A","1980","BG","Bulgaria","1989-12-15","BG 46358 A1","1989","1","System For Controlling A Drones","Drones; system","https://lens.org/024-343-639-983-323"
"THALES SA","THALES SA","0","H04L1/0003; H04L1/0009; H04L1/0083; H04L27/0008; H04L27/22; H04L27/2656; H04L27/38; H04N21/236; H04N21/23605; H04N21/2383; H04N21/4382; H04N21/6143; H04N21/6193; H04N21/6338; H04N21/643","","8","GOURLAOUEN KATY; TOURET MARC","H04N21/2383; H04N5/04","Electric Communication/Television","H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television","","FR","France","20121228","FR 1203616 A","2012","BR","Brazil","2015-7-14","BR 102013033629 A2","2015","8","MÃ©todo E Sistema Para SincronizaÃ§Ã£o Para Quadro Dvb-s2 E Sua Estrutura De Quadro Associada","MÃ©todo E Sistema Para SincronizaÃ§Ã£o Para Quadro Dvb-s2 E Sua Estrutura De Quadro Associada","https://lens.org/147-888-357-765-141"
"SHORT BROTHERS AND HARLAND LIM","SHORT BROTHERS AND HARLAND LIM","0","B64C2201/027; B64C2201/044; B64C2201/088; B64C2201/108; B64C2201/162; B64C29/02; B64C39/024; B64C39/062","","7","JOHNSTON THOMAS; YOUENS FREDERICK PETER","B64C29/02; B64C39/06","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","GB","United Kingdom","19720901","GB 4072172 A","1972","CA","Canada","1976-12-7","CA 1001142 A","1976","6","Flight Vehicle","flight Vehicle","https://lens.org/088-472-986-848-161"
"NORTHROP CORP","NORTHROP CORP","0","F41G3/2622; F41G7/003; F41J2/00; F41J9/08; H01Q15/14","","12","BENNECHE CHRIS; BROCHU JAMES W; CONNER JACK S","F41G3/26; F41G7/00; F41J2/00; F41J9/08; F41J9/10; G01S7/40; G05D1/12; H01Q15/14","Control Systems; Direction Finding; Electrical Elements; Weapons","F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming; F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers; G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables; H01Q: Electricity -> Basic Electric Elements -> Aerials","","US","United States of America","19740225","US 44515374 A","1974","CA","Canada","1977-5-17","CA 1010468 A","1977","12","Radar-augmented Sub-target","radar-augmented Sub-target","https://lens.org/135-275-704-850-897"
